政治实体,GEC代码,ISO 3166,ISO 3166,ISO 3166
,,2位字母代码,3位字母代码,3位数字代码
?阿富汗,AF,AF,AFG,4
?阿尔巴尼亚,AL,AL,ALB,8
?阿尔及利亚,AG,DZ,DZA,12
?美属萨摩亚,AQ,AS,ASM,16
?安道尔,AN,AD,AND,20
?安哥拉,AO,AO,AGO,24
?安圭拉,AV,AI,AIA,660
?南极洲,AY,AQ,ATA,10
?安提瓜和巴布达,AC,AG,ATG,28
?阿根廷,AR,AR,ARG,32
?亚美尼亚,AM,AM,ARM,51
?阿鲁巴,AA,AW,ABW,533
?澳大利亚,AS,AU,AUS,36
?奥地利,AU,AT,AUT,40
?阿塞拜疆,AJ,AZ,AZE,31
?巴哈马,BF,BS,BHS,44
?巴林,BA,BH,BHR,48
?孟加拉国,BG,BD,BGD,50
?巴巴多斯,BB,BB,BRB,52
?白俄罗斯,BO,BY,BLR,112
?比利时,BE,BE,BEL,56
?伯利兹,BH,BZ,BLZ,84
?贝宁,BN,BJ,BEN,204
?百慕大,BD,BM,BMU,60
?不丹,BT,BT,BTN,64
?玻利维亚,BL,BO,BOL,68
?波斯尼亚和黑塞哥维那,BK,BA,BIH,70
?博茨瓦纳,BC,BW,BWA,72
?布韦岛,BV,BV,BVT,74
?巴西,BR,BR,BRA,76
?英属印度洋领地,IO,IO,IOT,86
?英属维尔京群岛,VI,VG,VGB,92
?文莱,BX,BN,BRN,96
?保加利亚,BU,BG,BGR,100
?布基纳法索,UV,BF,BFA,854
?缅甸,BM,MM,MMR,104
?布隆迪,BY,BI,BDI,108
?佛得角,CV,CV,CPV,132
?柬埔寨,CB,KH,KHM,116
?喀麦隆,CM,CM,CMR,120
?加拿大,CA,CA,CAN,124
?开曼群岛,CJ,KY,CYM,136
?中非,CT,CF,CAF,140
?乍得,CD,TD,TCD,148
?智利,CI,CL,CHL,152
?中华人民共和国,CH,CN,CHN,156
?圣诞岛,KT,CX,CXR,162
?科科斯（基林）群岛,CK,CC,CCK,166
?哥伦比亚,CO,CO,COL,170
?科摩罗,CN,KM,COM,174
?刚果（金）,CG,CD,COD,180
?刚果（布）,CF,CG,COG,178
?库克群岛,CW,CK,COK,184
?哥斯达黎加,CS,CR,CRI,188
?科特迪瓦,IV,CI,CIV,384
?克罗地亚,HR,HR,HRV,191
?古巴,CU,CU,CUB,192
?库拉索,UC,CW,CUW,531
?塞浦路斯,CY,CY,CYP,196
?捷克,EZ,CZ,CZE,203
?丹麦,DA,DK,DNK,208
?吉布提,DJ,DJ,DJI,262
?多米尼克,DO,DM,DMA,212
?多米尼加,DR,DO,DOM,214
?厄瓜多尔,EC,EC,ECU,218
?埃及,EG,EG,EGY,818
?萨尔瓦多,ES,SV,SLV,222
?赤道几内亚,EK,GQ,GNQ,226
?厄立特里亚,ER,ER,ERI,232
?爱沙尼亚,EN,EE,EST,233
?埃塞俄比亚,ET,ET,ETH,231
?福克兰群岛,FK,FK,FLK,238
?法罗群岛,FO,FO,FRO,234
?斐济,FJ,FJ,FJI,242
?芬兰,FI,FI,FIN,246
?法国,FR,FR,FRA,250
?法国,FX,FX,FXX,249
?法属圭亚那,FG,GF,GUF,254
?法属波利尼西亚,FP,PF,PYF,258
?法属南部领地,FS,TF,ATF,260
?加蓬,GB,GA,GAB,266
?冈比亚,GA,GM,GMB,270
?巴勒斯坦,GZ,PS,PSE,275
?格鲁吉亚,GG,GE,GEO,268
?德国,GM,DE,DEU,276
?加纳,GH,GH,GHA,288
?直布罗陀,GI,GI,GIB,292
?希腊,GR,GR,GRC,300
?格陵兰,GL,GL,GRL,304
?格林纳达,GJ,GD,GRD,308
?瓜德罗普,GP,GP,GLP,312
?关岛,GQ,GU,GUM,316
?危地马拉,GT,GT,GTM,320
?根西,GK,GG,GGY,831
?几内亚,GV,GN,GIN,324
?几内亚比绍,PU,GW,GNB,624
?圭亚那,GY,GY,GUY,328
?海地,HA,HT,HTI,332
?赫德岛和麦克唐纳群岛,HM,HM,HMD,334
?梵蒂冈,VT,VA,VAT,336
?洪都拉斯,HO,HN,HND,340
?香港,HK,HK,HKG,344
?匈牙利,HU,HU,HUN,348
?冰岛,IC,IS,ISL,352
?印度,IN,IN,IND,356
?印尼,ID,ID,IDN,360
?伊朗,IR,IR,IRN,364
?伊拉克,IZ,IQ,IRQ,368
?爱尔兰,EI,IE,IRL,372
?马恩岛,IM,IM,IMN,833
?以色列,IS,IL,ISR,376
?意大利,IT,IT,ITA,380
?牙买加,JM,JM,JAM,388
?日本,JA,JP,JPN,392
?泽西,JE,JE,JEY,832
?约旦,JO,JO,JOR,400
?哈萨克斯坦,KZ,KZ,KAZ,398
?肯尼亚,KE,KE,KEN,404
?基里巴斯,KR,KI,KIR,296
?朝鲜,KN,KP,PRK,408
?韩国,KS,KR,KOR,410
?科索沃,KV,XK,XKS,不适用
?科威特,KU,KW,KWT,414
?吉尔吉斯斯坦,KG,KG,KGZ,417
?老挝,LA,LA,LAO,418
?拉脱维亚,LG,LV,LVA,428
?黎巴嫩,LE,LB,LBN,422
?莱索托,LT,LS,LSO,426
?利比里亚,LI,LR,LBR,430
?利比亚,LY,LY,LBY,434
?列支敦士登,LS,LI,LIE,438
?立陶宛,LH,LT,LTU,440
?卢森堡,LU,LU,LUX,442
?澳门,MC,MO,MAC,446
?马其顿,MK,MK,MKD,807
?马达加斯加,MA,MG,MDG,450
?马拉维,MI,MW,MWI,454
?马来西亚,MY,MY,MYS,458
?马尔代夫,MV,MV,MDV,462
?马里,ML,ML,MLI,466
?马耳他,MT,MT,MLT,470
?马绍尔群岛,RM,MH,MHL,584
?马提尼克,MB,MQ,MTQ,474
?毛里塔尼亚,MR,MR,MRT,478
